Year,Population, GDP ,CPI,Sentiment,SP500,MinimumWage,Households,MedianHousePrice,IncomePct20,IncomePct40,IncomePct60,IncomePct80,IncomePct95,PresidentParty
1960,176188578, 541.99 ,29.6,,58.11,,,,,,,,,Republican
1961,179087278, 561.94 ,29.9,,71.55,,,,,,,,,Democrat
1962,181917809, 603.64 ,30.3,,63.1,,,,,,,,,Democrat
1963,184649873, 637.06 ,30.6,,75.02,,,17800,,,,,,Democrat
1964,187277378, 684.14 ,31,,84.75,,,18500,,,,,,Democrat
1965,189703283, 741.90 ,31.5,,92.43,,,20200,,,,,,Democrat
1966,191830975, 813.03 ,32.5,,80.33,,,21000,,,,,,Democrat
1967,193782438, 859.62 ,33.4,,96.47,,60813,22300,3000,5850,8303,11840,19000,Democrat
1968,195743427, 940.23 ,34.8,,103.86,1.6,62214,23900,3323,6300,9030,12688,19850,Democrat
1969,197859329," 1,017.44 ",36.7,,92.06,1.6,63401,25700,3575,6860,9921,13900,21800,Republican
1970,200328340," 1,073.30 ",38.8,,92.15,1.6,64778,23900,3688,7065,10276,14661,23175,Republican
1971,202907917," 1,164.85 ",40.5,,102.09,1.6,66676,24300,3800,7244,10660,15200,24138,Republican
1972,205238390," 1,279.11 ",41.8,,118.05,1.6,68251,26200,4050,7800,11528,16500,26555,Republican
1973,207314764," 1,425.38 ",44.4,,97.55,1.6,69859,30200,4397,8455,12510,18012,28950,Republican
1974,209277968," 1,545.24 ",49.3,,68.56,2,71163,35200,4860,9015,13321,19333,30600,Republican
1975,211274535," 1,684.90 ",53.8,,90.19,2,72867,38100,5000,9384,14180,20360,32129,Republican
1976,213270022," 1,873.41 ",56.9,,107.46,2.2,74142,42800,5405,10070,15340,22070,35000,Republican
1977,215437405," 2,081.83 ",60.6,,95.1,2.3,76030,46300,5734,10800,16462,24000,38000,Democrat
1978,217881437," 2,351.60 ",65.2, 79.40 ,96.11,2.65,77330,53000,6318,11946,18075,26288,42055,Democrat
1979,220463115," 2,627.33 ",72.6, 66.00 ,107.94,2.9,80776,60600,7000,13000,20001,29000,46860,Democrat
1980,223140018," 2,857.31 ",82.4, 64.50 ,135.76,3.1,82368,63700,7478,14024,21500,31480,50661,Democrat
1981,225654008," 3,207.04 ",90.9, 70.00 ,122.55,3.35,83527,66800,8024,15000,23200,34300,55200,Republican
1982,228001418," 3,343.79 ",96.5, 68.00 ,140.64,3.35,83918,66400,8400,15976,24410,36400,60086,Republican
1983,230389964," 3,634.04 ",99.6, 87.50 ,164.93,3.35,85290,73300,8949,16640,25539,38596,63500,Republican
1984,232766280," 4,037.61 ",103.9, 97.50 ,167.24,3.35,86789,78200,9500,17780,27393,41380,68500,Republican
1985,235146182," 4,338.98 ",107.6, 93.20 ,211.28,3.35,88458,82800,9941,18704,28975,43578,72004,Republican
1986,237512783," 4,579.63 ",109.6, 94.80 ,242.17,3.35,89479,88000,10247,19600,30419,45982,77106,Republican
1987,239853168," 4,855.22 ",113.6, 90.90 ,247.08,3.35,91124,97900,10800,20500,32000,48363,80928,Republican
1988,242287814," 5,236.44 ",118.3, 93.70 ,277.72,3.35,92830,110000,11382,21500,33506,50593,85640,Republican
1989,244954094," 5,641.58 ",124, 92.70 ,353.4,3.35,93347,118000,12096,23000,35350,53710,91750,Republican
1990,248083732," 5,963.14 ",130.7, 81.60 ,330.22,3.9,94312,123900,12500,23662,36200,55205,94748,Republican
1991,251560189," 6,158.13 ",136.2, 77.50 ,417.09,4.25,95669,120000,12591,24000,37070,56759,96400,Republican
1992,255175339," 6,520.33 ",140.3, 77.30 ,435.71,4.25,96426,119500,12600,24140,37900,58007,99020,Republican
1993,258779753," 6,858.56 ",144.5, 82.80 ,466.45,4.25,97107,125000,12967,24679,38793,60300,104639,Democrat
1994,262273589," 7,287.24 ",148.2, 92.30 ,459.27,4.25,98990,130000,13426,25200,40100,62841,109821,Democrat
1995,265660556," 7,639.75 ",152.4, 92.20 ,615.93,4.25,99627,130000,14400,26914,42002,65124,113000,Democrat
1996,268984347," 8,073.12 ",156.9, 93.60 ,740.74,4.75,101018,137000,14768,27760,44006,68015,119540,Democrat
1997,272395438," 8,577.55 ",160.5, 103.20 ,970.43,5.15,102528,145000,15400,29200,46000,71500,126550,Democrat
1998,275835018," 9,062.82 ",163, 104.60 ,1229.23,5.15,103874,152200,16116,30408,48337,75000,132199,Democrat
1999,279181581," 9,631.17 ",166.6, 105.80 ,1469.25,5.15,106434,157400,17136,31920,50384,79232,142000,Democrat
2000,282398554," 10,250.95 ",172.2, 107.60 ,1320.28,5.15,108209,165300,17920,33000,52174,81766,145220,Democrat
2001,285470493," 10,581.93 ",177.1, 89.20 ,1148.08,5.15,109297,169800,17970,33314,53000,83500,150499,Republican
2002,288350252," 10,929.11 ",179.9, 89.60 ,879.82,5.15,111278,188700,17916,33377,53162,84016,150002,Republican
2003,291109820," 11,456.45 ",184, 87.60 ,1111.92,5.15,112000,186000,17984,34000,54453,86867,154120,Republican
2004,293947885," 12,217.20 ",188.9, 95.20 ,1211.92,5.15,113343,212700,18486,34675,55230,88002,157152,Republican
